quality,angle,distance,object
15,111.625,318.5,1
15,111.625,319.0,1
15,111.625,319.25,1
15,111.625,319.25,1
15,111.625,321.75,1
15,111.625,322.0,1
15,111.625,322.25,1
15,111.640625,318.5,1
15,111.640625,318.75,1
15,111.640625,318.75,1
15,111.640625,319.0,1
15,111.640625,320.5,1
15,111.640625,321.75,1
15,111.640625,321.75,1
15,111.65625,319.0,1
15,111.65625,319.0,1
15,111.65625,321.75,1
15,111.65625,322.0,1
15,111.65625,322.25,1
15,111.671875,318.75,1
15,111.671875,319.0,1
15,111.671875,319.25,1
15,111.671875,319.5,1
15,111.671875,321.25,1
15,111.671875,321.75,1
15,111.671875,322.25,1
15,111.6875,318.75,1
15,111.6875,319.0,1
15,111.6875,319.0,1
15,111.6875,319.0,1
15,111.6875,319.25,1
15,111.6875,319.25,1
15,111.6875,321.75,1
15,111.6875,322.0,1
15,111.703125,319.0,1
15,111.703125,319.0,1
15,111.703125,319.0,1
15,111.703125,322.0,1
15,111.703125,322.25,1
15,111.71875,318.25,1
15,111.71875,318.75,1
15,111.71875,319.0,1
15,111.71875,319.0,1
15,111.71875,319.5,1
15,111.71875,321.75,1
15,111.734375,319.0,1
15,111.734375,319.25,1
15,111.734375,319.25,1
15,111.734375,320.75,1
15,111.734375,321.5,1
15,111.734375,322.25,1
15,111.75,318.5,1
15,111.75,318.5,1
15,111.75,318.75,1
15,111.75,319.0,1
15,111.75,319.25,1
15,111.75,319.5,1
15,111.75,319.5,1
15,111.75,321.25,1
15,111.75,322.0,1
15,111.765625,318.25,1
15,111.765625,318.25,1
15,111.765625,318.25,1
15,111.765625,318.25,1
15,111.765625,318.5,1
15,111.765625,318.75,1
15,111.765625,319.0,1
15,111.765625,319.0,1
15,111.765625,319.0,1
15,111.765625,319.5,1
15,111.765625,321.75,1
15,111.78125,318.75,1
15,111.78125,318.75,1
15,111.78125,319.0,1
15,111.78125,319.0,1
15,111.78125,319.25,1
15,111.78125,319.25,1
15,111.78125,319.75,1
15,111.78125,320.0,1
15,111.78125,321.25,1
15,111.796875,318.5,1
15,111.796875,318.5,1
15,111.796875,318.75,1
15,111.796875,318.75,1
15,111.796875,318.75,1
15,111.796875,319.0,1
15,111.796875,319.0,1
15,111.796875,319.0,1
15,111.796875,319.0,1
15,111.796875,319.25,1
15,111.8125,318.25,1
15,111.8125,318.25,1
15,111.8125,318.5,1
15,111.8125,318.75,1
15,111.8125,318.75,1
15,111.8125,318.75,1
15,111.8125,319.0,1
15,111.8125,319.25,1
15,111.828125,318.25,1
15,111.828125,318.25,1
15,111.828125,318.5,1
15,111.828125,318.5,1
15,111.828125,318.5,1
15,111.828125,318.75,1
15,111.828125,318.75,1
15,111.828125,319.0,1
15,111.828125,319.25,1
15,111.828125,319.25,1
15,111.828125,319.25,1
15,111.828125,319.5,1
15,111.84375,318.25,1
15,111.84375,318.25,1
15,111.84375,318.75,1
15,111.84375,319.0,1
15,111.84375,319.0,1
15,111.84375,319.0,1
15,111.84375,319.25,1
15,111.84375,320.25,1
15,111.84375,320.5,1
15,111.859375,318.25,1
15,111.859375,318.5,1
15,111.859375,319.0,1
15,111.859375,319.5,1
15,111.859375,319.75,1
15,111.875,318.25,1
15,111.875,318.25,1
15,111.875,318.5,1
15,111.875,318.5,1
15,111.875,318.5,1
15,111.875,319.0,1
15,111.875,319.0,1
15,111.875,319.0,1
15,111.890625,318.25,1
15,111.890625,318.25,1
15,111.890625,318.5,1
15,111.890625,318.75,1
15,111.890625,319.0,1
15,111.890625,319.25,1
15,111.890625,319.25,1
15,111.890625,319.25,1
15,111.890625,319.75,1
15,111.90625,318.0,1
15,111.90625,318.0,1
15,111.90625,318.0,1
15,111.90625,318.25,1
15,111.90625,318.25,1
